,name,stars,review,price,note,open_time,restautant_type,address
0,Ẩm thực quán 777,3.9,(8),,"['""Always good ', 'food', ' and service here for a great price..""']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,113 Đông Hưng Thuận 17
1,Quán Thiên Thu,4.5,(2),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"560, Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12"
2,CHẢO GANG quán,4.7,(3),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,"A33 Tô Ký, Tổ 11 Kp2"
3,Nam Dê,4.0,(223),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,115 Đông Hưng Thuận 2
4,Nhà Hàng,3.8,(6),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"96/4, Nguyễn Văn Quá, Quận 12, Thành Phố Hồ Chí Minh"
5,PHỞ ANH,4.4,(5),,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Bistro,39B Đông Hưng Thuận 10
6,"414 NGUYỄN VĂN QUÁ, ĐÔNG HƯNG THUẬN, QUẬN 12",4.8,(4),,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,414 Nguyễn Văn Quá
7,Quan An Han Quoc,,,,"['Dine-in', 'Takeout']",[],Restaurant,RJHH+QR4
8,Trà sữa Thảo Nguyên,5.0,(1),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Fast Food,21 DD11
9,Bò tơ 99,4.1,(141),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"76/2, 76/2 Tổ 10 Kp2"
10,Giòn Eatery,5.0,(1),,"['Dine-in', 'Curbside pickup', 'Delivery']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,35-36 DN6
11,Kieu Loan Restaurant,5.0,(1),,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,277 Nguyễn Văn Quá
