,name,stars,review,price,note,open_time,restautant_type,address
0,Ẩm thực quán 777,3.9,(8),nan,"['""Always good ', 'food', ' and service here for a great price..""']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,113 Đông Hưng Thuận 17
1,Quán Thiên Thu,4.5,(2),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"560, Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12"
2,CHẢO GANG quán,4.7,(3),nan,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,"A33 Tô Ký, Tổ 11 Kp2"
3,Nam Dê,4.0,(223),nan,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,115 Đông Hưng Thuận 2
4,Nhà Hàng,3.8,(6),nan,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"96/4, Nguyễn Văn Quá, Quận 12, Thành Phố Hồ Chí Minh"
5,PHỞ ANH,4.4,(5),nan,"['Dine-in', 'Drive-through', 'No-contact delivery']",['Open 24 hours'],Bistro,39B Đông Hưng Thuận 10
6,"414 NGUYỄN VĂN QUÁ, ĐÔNG HƯNG THUẬN, QUẬN 12",4.8,(4),nan,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,414 Nguyễn Văn Quá
7,Quan An Han Quoc,nan,nan,nan,"['Dine-in', 'Takeout']",[],Restaurant,RJHH+QR4
8,Trà sữa Thảo Nguyên,5.0,(1),nan,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Fast Food,21 DD11
9,Bò tơ 99,4.1,(141),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"76/2, 76/2 Tổ 10 Kp2"
10,Giòn Eatery,5.0,(1),nan,"['Dine-in', 'Curbside pickup', 'Delivery']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,35-36 DN6
11,Kieu Loan Restaurant,5.0,(1),nan,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,277 Nguyễn Văn Quá
12,PHỞ ĐÁNG Quận 12,3.5,(8),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,"151/6, 151/6 Tổ 17 KP6"
13,Dai Phu Restaurant,4.0,(34),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,56 Nguyễn Văn Quá Tổ 3 KP4
14,Bia sệt Sa kê,4.4,(107),nan,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,B146 Đông Hưng Thuận 11
15,Nhà Hàng Hầm Rượu - Thằng Bờm,4.0,(205),nan,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Restaurant,85 Nguyễn Văn Quá
16,Phở Vũ Bẩy 2,4.5,(13),nan,"['Dine-in', 'Drive-through']","['Open', ' ⋅ Closes 11\u202fPM']",Bistro,33 Đông Hưng Thuận 11
17,Pizza Take Away,nan,nan,nan,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Pizza,"Chung Cư An Sương, lô b4 Đường NB3"
18,Ẩm thực quán 777,3.9,(8),None,"['""Always good ', 'food', ' and service here for a great price..""']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,113 Đông Hưng Thuận 17
19,CHẢO GANG quán,4.7,(3),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Bistro,"A33 Tô Ký, Tổ 11 Kp2"
20,Quán Thiên Thu,4.5,(2),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"560, Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12"
21,Cafe BEEN,None,None,None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Bistro,152/5 Đông Hưng Thuận 6
22,Nhà Hàng,3.8,(6),None,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,"96/4, Nguyễn Văn Quá, Quận 12, Thành Phố Hồ Chí Minh"
